TITLE = "Rolling Shannon Entropy Analysis"
VARIABLES = "Time", "Shannon_Entropy"
ZONE T="Shannon Entropy Data"
2.5	5.227987850007246
3.5	5.211944850569111
4.5	5.396852383967606
5.5	5.38385230001479
6.5	5.400017067952732
7.5	5.130432466196734
8.5	4.84540498346311
9.5	5.440501857670153
10.5	5.375779395491006
11.5	5.362675908925059
12.5	5.338864151345623
13.5	5.076362847746308
14.5	5.099600997020205
15.5	4.969143084508775
16.5	5.1837700349046445
17.5	4.967788025221568
18.5	4.832345095387498
19.5	4.759122173277264
20.5	4.981210962694281
21.5	5.1112070947982975
22.5	5.0432401883248
23.5	5.332204344636425
24.5	5.336943190545774
25.5	5.219735754290923
26.5	5.298656429857763
27.5	5.027831579454822
28.5	5.25621744131251
29.5	5.082917735330208
30.5	5.072589282593577
31.5	5.095739988178322
32.5	4.985917759844457
33.5	4.730077741545301
34.5	5.176736617239097
35.5	5.231694576941971
36.5	4.914742293249162
37.5	5.172224686531317
38.5	5.360983777352994
39.5	5.4318609575641075
40.5	5.238657011172914
41.5	5.193926823866117
42.5	5.2265559424535475
43.5	5.243696551564434
44.5	5.0597241992241075
45.5	5.013076377268609
46.5	5.161513746875491
47.5	5.059181280164725
48.5	5.083803343684527
49.5	5.17434895603169
50.5	5.106098912928631
51.5	4.949309982234473
52.5	5.077103261495716
53.5	5.199896998519028
54.5	5.31691569426717
55.5	5.2673202448871805
56.5	5.433828525109321
57.5	5.03544810269885
