TITLE = "Peak Detection Analysis"
VARIABLES = "Time", "Signal", "Peak_Value"
ZONE T="Peak Detection Data"
0.0	-2.8806588674780325	nan
0.001	-2.8806569741193395	nan
0.002	-2.8806512939384707	nan
0.003	-2.8806418266210527	nan
0.004	-2.8806285716431304	nan
0.005	-2.8806115282711646	nan
0.006	-2.880590695562037	nan
0.007	-2.8805660723630457	nan
0.008	-2.8805376573119053	nan
0.009	-2.8805054488367507	nan
0.01	-2.880469445156132	nan
0.011	-2.8804296442790203	nan
0.012	-2.880386044004801	nan
0.013	-2.88033864192328	nan
0.014	-2.88028743541468	nan
0.015	-2.880232421649641	nan
0.016	-2.8801735975892218	nan
0.017	-2.8801109599848984	nan
0.018	-2.880044505378565	nan
0.019	-2.8799742301025333	nan
0.02	-2.8799001302795335	nan
0.021	-2.8798222018227126	nan
0.022	-2.879740440435636	nan
0.023	-2.879654841612287	nan
0.024	-2.879565400637066	nan
0.025	-2.8794721125847924	nan
0.026	-2.8793774348129135	nan
0.027	-2.879283824574087	nan
0.028	-2.8791912766287577	nan
0.029	-2.8790997857373712	nan
0.03	-2.8790093466603737	nan
0.031	-2.878919954158209	nan
0.032	-2.8788316029913243	nan
0.033	-2.8787442879201643	nan
0.034	-2.878658003705175	nan
0.035	-2.8785727451068017	nan
0.036	-2.8784885068854895	nan
0.037	-2.8784052838016847	nan
0.038	-2.8783230706158314	nan
0.039	-2.8782418620883767	nan
0.04	-2.878161652979765	nan
0.041	-2.8780824380504426	nan
0.042	-2.8780042120608544	nan
0.043	-2.8779269697714467	nan
0.044	-2.8778507059426643	nan
0.045	-2.8777754153349524	nan
0.046	-2.877701092708757	nan
0.047	-2.8776277328245237	nan
0.048	-2.8775553304426977	nan
0.049	-2.877483880323725	nan
0.05	-2.8774133772280504	nan
0.051	-2.87734381591612	nan
0.052	-2.8772751911483794	nan
0.053	-2.8772074976852737	nan
0.054	-2.877140730287248	nan
0.055	-2.8770748837147484	nan
0.056	-2.87700995272822	nan
0.057	-2.8769459320881094	nan
0.058	-2.8768828165548608	nan
0.059	-2.8768206008889208	nan
0.06	-2.8767592798507335	nan
0.061	-2.876698848200746	nan
0.062	-2.8766393006994027	nan
0.063	-2.8765806321071494	nan
0.064	-2.876522837184432	nan
0.065	-2.876465910691695	nan
0.066	-2.8764098473893847	nan
0.067	-2.8763546420379464	nan
0.068	-2.876300289397826	nan
0.069	-2.876246784229468	nan
0.07	-2.8761941212933193	nan
0.071	-2.8761422953498244	nan
0.072	-2.8760913011594287	nan
0.073	-2.8760411334825786	nan
0.074	-2.8759917870797187	nan
0.075	-2.8759432567112952	nan
0.076	-2.8758955371377533	nan
0.077	-2.875848623119538	nan
0.078	-2.8758025094170963	nan
0.079	-2.8757571907908717	nan
0.08	-2.8757126620013107	nan
0.081	-2.875668917808859	nan
0.082	-2.875625952973962	nan
0.083	-2.875583762257065	nan
0.084	-2.875542340418613	nan
0.085	-2.875501682219053	nan
0.086	-2.8754617824188298	nan
0.087	-2.875422635778388	nan
0.088	-2.8753842370581744	nan
0.089	-2.875346581018633	nan
0.09	-2.8753096624202112	nan
0.091	-2.8752734760233536	nan
0.092	-2.875238016588505	nan
0.093	-2.875203278876112	nan
0.094	-2.8751692576466197	nan
0.095	-2.8751359476604734	nan
0.096	-2.8751033436781186	nan
0.097	-2.875071440460001	nan
0.098	-2.8750402327665667	nan
0.099	-2.87500971535826	nan
0.1	-2.874979882995527	nan
0.101	-2.8749507304388136	nan
0.102	-2.8749222524485645	nan
0.103	-2.8748944437852257	nan
0.104	-2.8748672992092428	nan
0.105	-2.874840813481061	nan
0.106	-2.874814981361126	nan
0.107	-2.874789797609883	nan
0.108	-2.8747652569877777	nan
0.109	-2.8747413542552556	nan
0.11	-2.874718084172762	nan
0.111	-2.8746954415007435	nan
0.112	-2.874673420999644	nan
0.113	-2.8746520174299097	nan
0.114	-2.8746312255519864	nan
0.115	-2.8746110401263194	nan
0.116	-2.8745914559133543	nan
0.117	-2.874572467673536	nan
0.118	-2.8745540701673105	nan
0.119	-2.8745362581551235	nan
0.12	-2.87451902639742	nan
0.121	-2.8745023696546457	nan
0.122	-2.874486282687246	nan
0.123	-2.8744707602556674	nan
0.124	-2.874455797120354	nan
0.125	-2.8744413880417516	nan
0.126	-2.8744275277803064	nan
0.127	-2.8744142110964632	nan
0.128	-2.874401432750668	nan
0.129	-2.8743891875033665	nan
0.13	-2.8743774701150033	nan
0.131	-2.8743662753460244	nan
0.132	-2.8743555979568756	nan
0.133	-2.874345432708002	nan
0.134	-2.8743357743598494	nan
0.135	-2.8743266176728626	nan
0.136	-2.8743179574074884	nan
0.137	-2.874309788324171	nan
0.138	-2.874302105183357	nan
0.139	-2.874294902745491	nan
0.14	-2.874288175771019	nan
0.141	-2.874281919020386	nan
0.142	-2.8742761272540376	nan
0.143	-2.87427079523242	nan
0.144	-2.874265917715978	nan
0.145	-2.874261489465158	nan
0.146	-2.8742575052404042	nan
0.147	-2.874253959802163	nan
0.148	-2.8742508479108797	nan
0.149	-2.8742481643269997	nan
0.15	-2.874245903810969	nan
0.151	-2.8742440611232327	nan
0.152	-2.874242631024236	nan
0.153	-2.8742416082744247	nan
0.154	-2.874240987634244	nan
0.155	-2.8742407638641403	nan
0.156	-2.874240931724558	nan
0.157	-2.8742414859759435	nan
0.158	-2.8742424213787414	nan
0.159	-2.8742437326933983	nan
0.16	-2.874245414680359	nan
0.161	-2.874247462100069	nan
0.162	-2.8742498697129744	nan
0.163	-2.8742526322795197	nan
0.164	-2.874255744560151	nan
