TITLE = "Entropy Analysis"
VARIABLES = "Time", "Entropy", "High_Entropy"
ZONE T="Entropy Data"
2.5	0.007848563575293399	False
3.5	0.008513641779482883	False
4.5	0.009349406082266531	False
5.5	0.00925893439871972	False
6.5	0.009445655302811495	True
7.5	0.008149510159964679	False
8.5	0.008624245371904316	False
9.5	0.007853961454062475	False
10.5	0.008094287999639516	False
11.5	0.007576982236680241	False
12.5	0.009306595480200741	False
13.5	0.008626451716175154	False
14.5	0.009072908265237212	False
15.5	0.00897762412201919	False
16.5	0.009169051006862716	False
17.5	0.007725993551999544	False
18.5	0.008776723868295644	False
19.5	0.00836446046429673	False
20.5	0.009546448863473334	True
21.5	0.008389817239783603	False
22.5	0.009179864070590238	False
23.5	0.008215918708710523	False
24.5	0.009032178687268022	False
25.5	0.008645819239071706	False
26.5	0.010200660737446299	True
27.5	0.008845428628344365	False
