Feature,Importance
mean,0.19209823078349905
std,0.03159570903380409
max,0.06752079749002489
min,0.04406539261307464
range,0.04180106332381164
entropy,0.03646338268691144
pc1,0.190324229063602
pc2,0.23279077594256722
pc3,0.16334041906270513
