mean,std,max,min,range,entropy,pc1,pc2,pc3,label
-3.928730055621569,0.0013595644900144463,-3.9259675375088796,-3.9322914750435185,0.00632393753463889,0.02685686409544541,0.6232152504351175,0.0033485445414464833,-0.022165453353312804,2
-3.929572904301506,0.0020592651298049847,-3.9259675375088796,-3.9347143302661687,0.008746792757289068,0.017908857168160708,0.5650808083566332,0.03620147050100157,0.027630087332940294,2
-3.930127094045702,0.002339779072039765,-3.9259675375088796,-3.9347143302661687,0.008746792757289068,0.017997452832174687,0.5256551317420144,0.06538538242769512,-0.028183700403915414,2
-3.931602380776996,0.0031524194643957185,-3.9259675375088796,-3.93833957854192,0.01237204103304057,0.012381474496290679,0.4251435701633997,0.13814066570629008,0.020208457602494484,2
-3.9332715514382857,0.0031392892524992593,-3.926473465522629,-3.93833957854192,0.011866113019291191,0.011853305609148546,0.3055913824877018,0.14725248074829056,0.013889486360616024,0
-3.9346189175129958,0.0028332866696346624,-3.926473465522629,-3.938356369435301,0.011882903912672216,0.01320227692453857,0.20838854254440572,0.12311462050684951,-0.040305786217734806,0
-3.935444684986952,0.0023098962866217204,-3.927035733609672,-3.938356369435301,0.011320635825629033,0.014813002881731485,0.14470929293469267,0.07744949619437683,-0.09486906052654834,0
-3.9359203828006577,0.0014140924564333504,-3.9330270206465237,-3.938356369435301,0.005329348788777555,0.02370384159486516,0.1100398119138868,-0.0603419871574703,-0.057371600112824384,0
-3.935293427692588,0.0017638515623015119,-3.9315669941835205,-3.938356369435301,0.006789375251780694,0.018997284125522818,0.15416472705758436,-0.12509493251979797,-0.042619605483272344,0
-3.934318555012802,0.0020478818037167556,-3.9304440009977015,-3.938356369435301,0.007912368437599682,0.01440983590562972,0.22377646718329156,-0.1558482782328074,-0.01693264611659487,0
-3.9331294566281123,0.001992794277753625,-3.929455976877798,-3.9375974091131933,0.008141432235395207,0.015081165749315506,0.3089985765128642,-0.15454053616528346,0.0008659200700123894,2
-3.9315596260977035,0.002179598679681343,-3.9264717125982855,-3.9362559664757346,0.009784253877449078,0.012917105102709048,0.4168884477678814,-0.16887096181435435,-0.05308013955709695,2
-3.9301562896848656,0.0023332462635445262,-3.9261818127104284,-3.9345427110275994,0.008360898317171017,0.012118718044243693,0.5162445268622354,-0.18610142210250866,-0.053240082427584504,2
-3.9283449444130434,0.0030313472772709937,-3.921836067909136,-3.9330664500555845,0.011230382146448559,0.008782995593271226,0.6423758142272546,-0.23676942537266835,-0.06586839200863358,2
-3.926729857222097,0.002935855203591444,-3.921836067909136,-3.9319231972821718,0.010087129373035797,0.009757346742198969,0.7602102126980195,-0.22991784303997093,-0.018270074326453965,2
-3.9252346497691004,0.0023314202279398383,-3.921560445292839,-3.9318080989339976,0.01024765364115865,0.012086840495161066,0.8690606235509719,-0.1741258895089622,0.013386496296863993,2
-3.9249307818983272,0.002358825452168116,-3.921560445292839,-3.9330986815582536,0.011538236265414614,0.013185672439215423,0.8980684741834983,-0.04495508004631617,0.07829990798670086,2
-3.926779646894492,0.0052974763409908135,-3.921560445292839,-3.939364442973096,0.017803997680256867,0.005496941299330649,0.778483861569905,0.2510649663553466,0.17210882019224832,2
-3.9298521204191887,0.006918440349448914,-3.921560445292839,-3.9423357091271796,0.020775263834340585,0.004504231145264992,0.5592801172599086,0.4237337975267699,0.07853630747590305,2
-3.9330114837961316,0.0070111528727957555,-3.921560445292839,-3.9425800958445136,0.02101965055167465,0.004728041108783332,0.3235753410769182,0.43649549585680236,-0.14576412009860415,0
