Time (s),ApEn,High Entropy
13.5,0.027727907795294993,True
14.5,0.025037698973002342,True
15.5,0.0243267836982497,True
31.5,0.027256151518408878,True
54.5,0.030198829786114878,True
55.5,0.0282524123387895,True
56.5,0.0270410854122618,True
57.5,0.030194069456953354,True
