mean,std,max,min,range,entropy,pc1,pc2,pc3,label
-2.8781815728144773,0.002285940105860192,-2.8740128982797213,-2.8819225910731974,0.007909692793476086,0.014275813313194607,0.03080954952000232,0.14171270328176994,-0.032981810695977644,0
-2.879224305683585,0.0018094362277444492,-2.874746769351188,-2.8823495378510433,0.007602768499855195,0.015612791942069215,-0.043526557996219455,0.07461652198117531,-0.04823358114686284,0
-2.880569529326829,0.0016491630634561645,-2.8767325392804164,-2.8855462198591253,0.008813680578708905,0.019215841443274595,-0.13183816063353784,0.04621994561448309,0.05997999502851317,0
-2.8812434900992745,0.0016984445913943902,-2.8779732592232374,-2.8855462198591253,0.00757296063588786,0.018904110013456155,-0.1810246661790884,0.08580787824517068,0.06879824497204899,0
-2.8815801393054885,0.0017317573099857938,-2.8779732592232374,-2.8855462198591253,0.00757296063588786,0.019941893937017063,-0.2106727638914228,0.08989999340335672,-0.020345123981289244,0
-2.8817636643557742,0.0015440637990443888,-2.8780593467998163,-2.8855462198591253,0.007486873059308952,0.02084163247782289,-0.22724020886654955,0.0009495648220688482,-0.059606062612464226,0
-2.8816423527411703,0.0016743093830122759,-2.87825244660419,-2.8855462198591253,0.0072937732549354095,0.020193066390123082,-0.21535211116393993,-0.08459774690622518,-0.014573210285634191,2
-2.8806192353448856,0.002034848557077181,-2.8757049081323687,-2.8850254216528786,0.009320513520509888,0.015553128667421756,-0.14385612985071922,-0.11016704588104588,-0.011452410501896972,2
-2.879505066850067,0.0021557380907456414,-2.8745537658724913,-2.8850254216528786,0.010471655780387223,0.014547296523401698,-0.060964395354223384,-0.12373210688374622,-0.01113749592091833,2
-2.8787167429769296,0.001694043865461601,-2.8745537658724913,-2.881884158503044,0.0073303926305525735,0.017704143170976572,-0.003338941490082878,-0.08589570461010829,0.0420065369819947,2
-2.8781709755139526,0.00141453400944835,-2.8745537658724913,-2.8816812045832894,0.0071274387107980175,0.022303127115330668,0.03597768623050381,-0.030769057269715887,0.045276336843497376,2
-2.877831087423917,0.0011164358556500337,-2.8745537658724913,-2.879824638801834,0.005270872929342474,0.027727907795294993,0.059664665921580436,0.014710415147595857,-0.0027603249143882723,1
-2.8778912831990064,0.001054513562496212,-2.8745537658724913,-2.879824638801834,0.005270872929342474,0.025037698973002342,0.05388537087341207,0.01427784243184293,-0.005544110217411051,1
-2.878409863021572,0.0010611440516404092,-2.8762855596295838,-2.8811136429700657,0.0048280833404819035,0.0243267836982497,0.021256471475216455,0.029744052162517593,0.03133641656727202,0
