TITLE = "Breathing Cycles Analysis"
VARIABLES = "Cycle_Number", "Peak_Time", "Peak_Amplitude", "Cycle_Duration", "Tidal_Volume"
ZONE T="Breathing Cycles Data"
1	1.308	4.332696314435773	1.6169999999999998	0.04293307204043728
2	2.925	4.4586865620512945	1.822	0.16800534548739687
3	4.747	4.472080296545233	1.87	0.1786097677456704
4	6.617	4.469206667332611	1.7890000000000006	0.17149785346936497
5	8.406	4.485801848954428	2.206999999999999	0.1709935507163829
6	10.613	4.486044728278434	1.971	0.17262530883277893
7	12.584	4.495465446539584	2.0250000000000004	0.18340477941393818
8	14.609	4.4319011222106885	1.9360000000000017	0.12054869779871424
9	16.545	4.474205390995617	1.8759999999999977	0.13907585328448757
10	18.421	4.457982120050376	2.150000000000002	0.12253604128268858
11	20.571	4.4710027603396085	2.0569999999999986	0.11947997938852772
12	22.628	4.466311257149827	1.8739999999999988	0.11417380588799109
13	24.502	4.469094313844007	2.245000000000001	0.09647755549736559
14	26.747	4.48898277655253	1.7360000000000007	0.10678342013320918
