Feature,Importance
mean,0.1730023293779323
std,0.041932359358218346
max,0.07815837509913653
min,0.1097436346600106
range,0.031362088550092766
entropy,0.024790771257317
pc1,0.16795950298629325
pc2,0.34302362502547823
pc3,0.0300273136855209
